num_vehicles,5
capacity,15
min_graph_size,550
max_graph_size,600
graph_size_step,100
graph_variations,1
trials_per_graph,20
ordered_nbhs,"[<function intra_two_opt_fast at 0x000002324DA65820>, <function intra_segment_swap_fast at 0x000002324DA659D0>, <function inter_two_opt_fast at 0x000002324DA658B0>, <function inter_segment_swap_fast at 0x000002324DA65A60>]"
nbh_change_set,"[<function change_nbh_cyclic at 0x0000023263B83790>, <function change_nbh_pipe at 0x0000023263B83820>, <function change_nbh_sequential at 0x0000023263B83700>, <function change_nbh_check_all at 0x0000023263B838B0>]"
graph_size,graph_instance,trial,greedy_distance,vns_cyclic_distance,vns_cyclic_time,vns_pipe_distance,vns_pipe_time,vns_seq_distance,vns_seq_time,vns_all_distance,vns_all_time
550,0,0,1581.656,1148.833,45.094,1147.918,82.629,1160.706,185.451,1139.421,180.084
550,0,1,1626.797,1123.847,41.958,1141.346,92.196,1136.425,297.312,1146.779,181.708
550,0,2,1593.875,1145.418,52.097,1155.494,92.272,1160.312,205.251,1149.14,246.463
550,0,3,1608.256,1167.151,42.096,1159.965,67.678,1157.249,184.894,1147.533,182.541
550,0,4,1584.249,1126.518,43.765,1137.764,97.518,1147.077,194.992,1140.845,145.973
550,0,5,1520.015,1142.056,34.301,1132.32,74.486,1139.42,216.439,1148.428,150.622
550,0,6,1609.339,1145.688,46.106,1131.87,105.142,1145.16,209.664,1157.01,150.437
550,0,7,1617.217,1131.122,51.693,1134.02,110.188,1150.115,201.94,1126.894,174.101
550,0,8,1598.038,1145.979,50.907,1144.537,103.091,1158.467,204.365,1139.439,131.792
550,0,9,1563.944,1141.233,38.287,1156.173,69.341,1134.004,180.196,1151.658,179.479
550,0,10,1624.46,1149.57,41.468,1129.164,98.283,1146.753,205.428,1155.07,181.335
550,0,11,1630.033,1147.657,37.513,1144.893,89.732,1155.933,207.689,1149.802,209.504
550,0,12,1630.25,1155.877,33.242,1150.153,93.063,1160.064,178.621,1146.214,160.869
550,0,13,1582.058,1127.727,48.801,1157.937,73.617,1136.851,176.251,1149.571,214.062
550,0,14,1570.957,1146.035,29.426,1143.981,70.638,1159.551,162.393,1147.163,195.514
550,0,15,1578.404,1143.549,53.488,1137.698,96.357,1112.959,209.493,1148.93,191.165
550,0,16,1614.626,1141.108,51.364,1145.428,87.716,1155.79,217.023,1140.459,226.19
550,0,17,1578.022,1135.238,45.605,1161.695,69.348,1136.588,247.347,1155.14,169.844
550,0,18,1609.604,1141.035,53.944,1151.273,101.789,1172.082,177.281,1140.479,168.044
550,0,19,1556.105,1130.215,44.365,1160.374,69.271,1156.534,194.064,1150.905,149.845
